authority_id,jurisdiction,authority_type,issuing_body,citation,title,chapter,topic_tags,effective_date,amendment_date,status,precedential_status,source_url,local_filename,retrieval_date,sha256,retrieval_priority,retrieval_eligible,verification_required,notes,publication_status,retrieved_at,effective_date_checked,source_identity_checked,reviewed_at,reviewed_by,verification_level,snapshot_kind,snapshot_completeness,retrieval_scope,source_access_method,raw_source_bytes_preserved,extract_is_verbatim,source_derived_word_count,answer_scope,as_of_date
NH-0001,NH,statute,New Hampshire General Court,RSA 21-M,Department of Health and Human Services,21-M,"[""agency_structure"", ""dhhs""]",,,source_seed_unverified,,https://gc.nh.gov/rsa/html/I/21-M/21-M-mrg.htm,,,,1,False,"[""source_identity"", ""current_codification"", ""effective_date"", ""amendment_history""]",Official consolidated chapter page; verify section effective dates and session-law amendments during acquisition.,official New Hampshire government online text; site labels material informational and directs users to bound RSA volumes/supplements for the official version,,,,,,,,,,,,,,,
NH-0002,NH,statute,New Hampshire General Court,RSA 126-A,Department of Health and Human Services,126-A,"[""dhhs"", ""administration""]",,,source_seed_unverified,,https://gc.nh.gov/rsa/html/X/126-A/126-A-mrg.htm,,,,1,False,"[""source_identity"", ""current_codification"", ""effective_date"", ""amendment_history""]",Official consolidated chapter page; verify section effective dates and session-law amendments during acquisition.,official New Hampshire government online text; site labels material informational and directs users to bound RSA volumes/supplements for the official version,,,,,,,,,,,,,,,
NH-0003,NH,statute,New Hampshire General Court,RSA 132,Maternity hospitals and child-related health provisions,132,"[""childbirth"", ""minor_health""]",,,source_seed_unverified,,https://gc.nh.gov/rsa/html/X/132/132-mrg.htm,,,,1,False,"[""source_identity"", ""current_codification"", ""effective_date"", ""amendment_history""]",Official consolidated chapter page; verify section effective dates and session-law amendments during acquisition.,official New Hampshire government online text; site labels material informational and directs users to bound RSA volumes/supplements for the official version,,,,,,,,,,,,,,,
NH-0004,NH,statute,New Hampshire General Court,RSA 135-C,New Hampshire mental health services system,135-C,"[""minor_health"", ""mental_health"", ""records""]",,,source_seed_unverified,,https://gc.nh.gov/rsa/html/X/135-C/135-C-mrg.htm,,,,1,False,"[""source_identity"", ""current_codification"", ""effective_date"", ""amendment_history""]",Official consolidated chapter page; verify section effective dates and session-law amendments during acquisition.,official New Hampshire government online text; site labels material informational and directs users to bound RSA volumes/supplements for the official version,,,,,,,,,,,,,,,
NH-0005,NH,statute,New Hampshire General Court,RSA 141-C,Communicable disease provisions,141-C,"[""minor_health"", ""parental_consent""]",,,source_seed_unverified,,https://gc.nh.gov/rsa/html/X/141-C/141-C-mrg.htm,,,,1,False,"[""source_identity"", ""current_codification"", ""effective_date"", ""amendment_history""]",Official consolidated chapter page; verify section effective dates and session-law amendments during acquisition.,official New Hampshire government online text; site labels material informational and directs users to bound RSA volumes/supplements for the official version,,,,,,,,,,,,,,,
NH-0006,NH,statute,New Hampshire General Court,RSA 161-B,Support of dependent children,161-B,"[""child_support"", ""title_iv_d"", ""enforcement"", ""bcSS""]",,,source_seed_unverified,,https://gc.nh.gov/rsa/html/XII/161-B/161-B-mrg.htm,,,,1,False,"[""source_identity"", ""current_codification"", ""effective_date"", ""amendment_history""]",Official consolidated chapter page; verify section effective dates and session-law amendments during acquisition.,official New Hampshire government online text; site labels material informational and directs users to bound RSA volumes/supplements for the official version,,,,,,,,,,,,,,,
NH-0007,NH,statute,New Hampshire General Court,RSA 161-C,Alternative method of support enforcement for dependent children,161-C,"[""child_support"", ""administrative_order"", ""due_process"", ""bcSS""]",,,source_seed_unverified,,https://gc.nh.gov/rsa/html/XII/161-C/161-C-mrg.htm,,,,1,False,"[""source_identity"", ""current_codification"", ""effective_date"", ""amendment_history""]",Official consolidated chapter page; verify section effective dates and session-law amendments during acquisition.,official New Hampshire government online text; site labels material informational and directs users to bound RSA volumes/supplements for the official version,,,,,,,,,,,,,,,
NH-0008,NH,statute,New Hampshire General Court,RSA 167,Public assistance,167,"[""public_assistance"", ""support_cooperation""]",,,source_seed_unverified,,https://gc.nh.gov/rsa/html/XII/167/167-mrg.htm,,,,1,False,"[""source_identity"", ""current_codification"", ""effective_date"", ""amendment_history""]",Official consolidated chapter page; verify section effective dates and session-law amendments during acquisition.,official New Hampshire government online text; site labels material informational and directs users to bound RSA volumes/supplements for the official version,,,,,,,,,,,,,,,
NH-0009,NH,statute,New Hampshire General Court,RSA 169-B,Delinquent children,169-B,"[""juvenile"", ""parental_rights""]",,,source_seed_unverified,,https://gc.nh.gov/rsa/html/XII/169-B/169-B-mrg.htm,,,,1,False,"[""source_identity"", ""current_codification"", ""effective_date"", ""amendment_history""]",Official consolidated chapter page; verify section effective dates and session-law amendments during acquisition.,official New Hampshire government online text; site labels material informational and directs users to bound RSA volumes/supplements for the official version,,,,,,,,,,,,,,,
NH-0010,NH,statute,New Hampshire General Court,RSA 169-C,Child Protection Act,169-C,"[""abuse_neglect"", ""dcYF"", ""child_protection""]",,,source_seed_unverified,,https://gc.nh.gov/rsa/html/XII/169-C/169-C-mrg.htm,,,,1,False,"[""source_identity"", ""current_codification"", ""effective_date"", ""amendment_history""]",Official consolidated chapter page; verify section effective dates and session-law amendments during acquisition.,official New Hampshire government online text; site labels material informational and directs users to bound RSA volumes/supplements for the official version,,,,,,,,,,,,,,,
